month_name,weekday_name,crossing,avg_wait_hours,min_wait_hours,max_wait_hours,samples
липень,П'ятниця,Грушів – Будомєж,12.013117283950617,0.2,49.11666666666667,108
липень,П'ятниця,Маяки-Удобне – Паланка,12.680208333333333,1.9833333333333334,54.2,16
липень,П'ятниця,Мамалига – Крива,18.072592592592592,3.683333333333333,36.38333333333333,45
липень,П'ятниця,Виноградівка – Вулканешти,20.012222222222224,2.933333333333333,54.81666666666667,30
липень,П'ятниця,Смільниця – Кросьценко,20.593693693693695,1.9166666666666667,43.8,37
липень,П'ятниця,Могилів-Подільський – Отач,20.84980392156863,1.8666666666666667,84.3,85
липень,П'ятниця,Угринів – Долгобичув,20.953333333333333,3.183333333333333,115.13333333333334,65
липень,П'ятниця,Дяківці – Раковець,24.018407960199006,2.3,96.61666666666666,67
липень,П'ятниця,Дякове – Халмеу,32.572868217054264,2.25,189.11666666666667,86
липень,П'ятниця,Рені – Джурджулешти,33.02717948717949,3.25,176.53333333333333,65
липень,П'ятниця,Лужанка – Берегшурань,37.568279569892475,2.3333333333333335,150.95,31
липень,П'ятниця,Чоп (Тиса) - Захонь,40.41957186544342,1.3833333333333333,206.21666666666667,109
липень,П'ятниця,Красноїльськ – Вікову де Сус,41.93088888888889,2.433333333333333,190.45,75
липень,П'ятниця,Порубне – Сірет,43.02224770642202,1.7833333333333334,233.5,218
липень,П'ятниця,Ужгород - Вишнє Нємецьке,43.6187908496732,2.533333333333333,196.13333333333333,102
липень,П'ятниця,Ягодин – Дорогуськ,45.68490099009901,2.75,320.76666666666665,202
липень,П'ятниця,Рава-Руська – Хребенне,57.73770833333333,2.75,721.65,160
липень,П'ятниця,Орлівка – Ісакча,64.42801418439717,5.166666666666667,538.35,141
липень,Субота,Серпневе 1 – Басараб'яска,6.930555555555555,1.45,21.116666666666667,12
липень,Субота,Табаки – Мирне,9.112037037037037,2.55,17.7,18
липень,Субота,Устилуг - Зосин,9.223333333333333,0.9666666666666667,22.466666666666665,70
липень,Субота,Старокозаче – Тудора,9.85893470790378,2.35,29.933333333333334,97
липень,Субота,Грушів – Будомєж,10.495631067961165,0.5166666666666667,28.9,103
липень,Субота,Маяки-Удобне – Паланка,11.440384615384616,0.8666666666666667,28.483333333333334,26
липень,Субота,Шегині - Медика,11.75078125,0.9666666666666667,25.8,192
липень,Субота,Краківець – Корчова,12.93641975308642,1.1333333333333333,50.016666666666666,216
липень,Субота,Нижанковичі – Мальховичі,15.337254901960785,3.2,59.5,17
липень,Субота,Смільниця – Кросьценко,17.464,2.6666666666666665,137.8,50
липень,Субота,Мамалига – Крива,17.577485380116958,3.1166666666666667,40.78333333333333,57
липень,Субота,Дяківці – Раковець,20.91923076923077,1.75,60.266666666666666,65
липень,Субота,Могилів-Подільський – Отач,21.484420289855073,2.3,169.46666666666667,92
липень,Субота,Виноградівка – Вулканешти,25.31984126984127,2.283333333333333,110.51666666666667,21
липень,Субота,Угринів – Долгобичув,25.434117647058823,1.8833333333333333,151.81666666666666,85
липень,Субота,Рені – Джурджулешти,26.845539906103287,2.3,115.01666666666667,71
липень,Субота,Росошани – Бричень,29.191666666666666,27.183333333333334,31.2,2
липень,Субота,Дякове – Халмеу,29.35326086956522,2.45,148.15,46
липень,Субота,Чоп (Тиса) - Захонь,33.85162601626016,2.6,191.5,82
липень,Субота,Красноїльськ – Вікову де Сус,40.089393939393936,1.55,126.26666666666667,55
липень,Субота,Ягодин – Дорогуськ,40.24151515151515,2.533333333333333,322.56666666666666,165
липень,Субота,Порубне – Сірет,41.926510067114094,2.2333333333333334,578.65,149
липень,Субота,Ужгород - Вишнє Нємецьке,45.697094801223244,0.9166666666666666,176.56666666666666,109
липень,Субота,Лужанка – Берегшурань,46.05,5.983333333333333,126.03333333333333,14
липень,Субота,Орлівка – Ісакча,62.63611111111111,4.433333333333334,334.55,114
липень,Субота,Рава-Руська – Хребенне,85.70833333333333,4.733333333333333,719.5,128
липень,Неділя,Росошани – Бричень,5.58,2.45,9.316666666666666,5
липень,Неділя,Грушів – Будомєж,7.088222222222222,0.6666666666666666,25.283333333333335,75
липень,Неділя,Устилуг - Зосин,7.802985074626866,0.8166666666666667,24.683333333333334,67
липень,Неділя,Нижанковичі – Мальховичі,8.142857142857142,0.9166666666666666,20.916666666666668,28
липень,Неділя,Табаки – Мирне,8.230833333333333,2.55,17.2,20
липень,Неділя,Серпневе 1 – Басараб'яска,8.597222222222223,1.2333333333333334,21.683333333333334,12
липень,Неділя,Старокозаче – Тудора,9.506603773584906,1.1833333333333333,52.53333333333333,106
липень,Неділя,Маяки-Удобне – Паланка,10.136666666666667,0.4666666666666667,27.016666666666666,35
липень,Неділя,Шегині - Медика,10.777631578947368,1.35,25.8,152
липень,Неділя,Краківець – Корчова,11.678869047619047,1.3666666666666667,44.85,168
липень,Неділя,Смільниця – Кросьценко,12.452222222222222,3.1333333333333333,30.466666666666665,15
липень,Неділя,Дяківці – Раковець,15.22090909090909,1.7833333333333334,60.266666666666666,55
липень,Неділя,Могилів-Подільський – Отач,18.13290043290043,3.7333333333333334,52.03333333333333,77
липень,Неділя,Мамалига – Крива,20.223484848484848,4.283333333333333,36.56666666666667,44
липень,Неділя,Угринів – Долгобичув,23.013409961685824,1.3333333333333333,110.75,87
липень,Неділя,Виноградівка – Вулканешти,23.316666666666666,2.3,86.86666666666666,15
